Txn Hash,Method,Block,DateTime(UTC),From,To,Value,Txn Fee
0x92cae2859e84a40777a9f1e43fec97274a5c6c326629710afc31ab04fae0d6c4,transfer,21332343,2025-01-19 15:22:44,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x4a758efbdf083aba6825ca76030444390a849035,0.000000 CORE,0.001400
0x58734bffb569153ab45c17123df4c0fcd1f5075f48dc1655a4d7d1db8131f635,,18805901,2024-10-23 21:34:13,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x3269446073342e237fa4b8a0923e15f13da82375,7.530689 CORE,0.000630
0x40549ea244921285e59d1e9251d7e6cff3a0a52c780e54ff6129093a5e531fe6,undelegateCoin,18805888,2024-10-23 21:33:34,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x0000000000000000000000000000000000001007,0.000000 CORE,0.001243
0xf0cd31b4814a5cfa43e5521d18905d6bc97b6e334c985150732aa9324c6ff0e8,delegateCoin,18804360,2024-10-23 20:17:10,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x0000000000000000000000000000000000001007,5.000000 CORE,0.002379
0x31edad05a3c45546530d720ea9dccb704fcfc1b751a765a8d22fc01ac9dffde3,,18804286,2024-10-23 20:13:28,0xc1254597567dabcb8a8b10cd3774cc437a5d69fc,0x29efb6a93c565efff225654c831bb58beb2bcbfd,5.610727 CORE,0.000945
0x27bb92b1a472c3a5c6f69927a984df9d80374dc1e18177f6a8d6e127e174a4e2,claimReward,18803414,2024-10-23 19:29:52,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x0000000000000000000000000000000000001007,0.000000 CORE,0.002119
0x36eb0d4070e53941c50d90ed2622688e77f5888c19bd6abaca2921a41cdb9216,delegateCoin,18734147,2024-10-21 09:46:31,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x0000000000000000000000000000000000001007,1.000000 CORE,0.003630
0x63db1206769e1dd0b55471fc63f6e6006a1744588807d3578e6424d4f6306325,,18734065,2024-10-21 09:42:25,0x8d99d471929f270f918197b09fee39606a66b530,0x29efb6a93c565efff225654c831bb58beb2bcbfd,1.929764 CORE,0.000945
0xf3fd0d59a561d32473eb28617b775eeb628e7629c4cf2c80903b59694d062c60,,18731526,2024-10-21 07:35:28,0x2a2847c11c6d4f155949c3794ceeab902febe084,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0.000000 CORE,0.000636
0xc065a4ba50bce6f15de7dfdee4b7ad19155d5bc128f985984486d647a49ce5da,,18608647,2024-10-17 01:11:19,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x3269446073342e237fa4b8a0923e15f13da82375,5.046382 CORE,0.000651
0x32f3004d10bd3f9157c5a344e5e046eef3e5b29f8319d8c39715f2bf583fa768,transfer,18608631,2024-10-17 01:10:31,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0xfd843e2eb0e5f7e652fb864477d57510a469b332,0.000000 CORE,0.000651
0x9310af86f7f8d5adc5afe550899736b13e6b75c41b3c13305e307bcfc02c88d3,transfer,18608612,2024-10-17 01:09:34,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0xb3a8f0f0da9ffc65318aa39e55079796093029ad,0.000000 CORE,0.001078
0xbef6a34216ca205435fa0d43b096db22a2675a6b517594ed45a9f64af42b25a2,,18596798,2024-10-16 15:18:50,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x15d3c30823dc72f17e440fcca984fd1807cf2070,2.000000 CORE,0.000636
0x1a84153cfae1f94777141bc808e6fc57340c20f0c0c4fb8f302c4dde7c9ee3bc,approve,18590580,2024-10-16 10:07:54,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x4a758efbdf083aba6825ca76030444390a849035,0.000000 CORE,0.000758
0xf863f11a00e011dcbf5ffccdfbd719288c355fc6060305a2af211c0dd898ed5b,approve,18590568,2024-10-16 10:07:18,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x4a758efbdf083aba6825ca76030444390a849035,0.000000 CORE,0.001334
0x882b9629fc11c86efcf708b0328479a2542bda3f78e07e22c7ecaf874083e17a,approve,18590539,2024-10-16 10:05:51,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0xfd843e2eb0e5f7e652fb864477d57510a469b332,0.000000 CORE,0.000757
0x200cb3eea7278c1703bed8fe051cbccef1d9e762c4a5a3f56987389f6a29bb01,approve,18590517,2024-10-16 10:04:45,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0xfd843e2eb0e5f7e652fb864477d57510a469b332,0.000000 CORE,0.000883
0x368b476e4e4770b9ad4233fb85863b2a7aba04e40a94d3704110f611f46dfc08,approve,18590476,2024-10-16 10:02:42,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0xfd843e2eb0e5f7e652fb864477d57510a469b332,0.000000 CORE,0.001324
0xb911f4b0284d540fdea38fda4688beb35834a6dcb1ba9fa2025dbfe78d128ecb,0xd808d889,18590393,2024-10-16 09:58:33,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x07964f135f276412b3182a3b2407b8dd45000000,2.000000 CORE,0.009152
0xda29cca8da2f2f48f91ff237ca1638ea377b92bb863de6e6b1407dc17293efc5,0xd808d889,18590333,2024-10-16 09:55:33,0x29efb6a93c565efff225654c831bb58beb2bcbfd,0x07964f135f276412b3182a3b2407b8dd45000000,1.000000 CORE,0.005765
